Book;Chapter;Character A;Character B;Relationship
Adib Khorram: Darius the Great Is Not Okay;5;Darius Grover Kellner;Shirin Kellner, née Bahrami;neutral
Adib Khorram: Darius the Great Is Not Okay;5;Darius Grover Kellner;Stephen Kellner;negative
Adib Khorram: Darius the Great Is Not Okay;5;Laleh Kellner;Stephen Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;6;Cyprian “Chip” Cusumano;Darius Grover Kellner;negative
Adib Khorram: Darius the Great Is Not Okay;6;Darius Grover Kellner;Trent “Fatty” Bolger;negative
Adib Khorram: Darius the Great Is Not Okay;7;Darius Grover Kellner;Laleh Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;7;Darius Grover Kellner;Mr. Charles Apatan;neutral
Adib Khorram: Darius the Great Is Not Okay;7;Darius Grover Kellner;Shirin Kellner, née Bahrami;neutral
Adib Khorram: Darius the Great Is Not Okay;7;Darius Grover Kellner;Stephen Kellner;negative
Adib Khorram: Darius the Great Is Not Okay;7;Shirin Kellner, née Bahrami;Stephen Kellner;neutral
Adib Khorram: Darius the Great Is Not Okay;8;Darius Grover Kellner;Laleh Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;8;Darius Grover Kellner;Shirin Kellner, née Bahrami;neutral
Adib Khorram: Darius the Great Is Not Okay;8;Darius Grover Kellner;Stephen Kellner;negative
Adib Khorram: Darius the Great Is Not Okay;8;Laleh Kellner;Stephen Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;9;Darius Grover Kellner;Laleh Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;9;Darius Grover Kellner;Shirin Kellner, née Bahrami;positive
Adib Khorram: Darius the Great Is Not Okay;9;Darius Grover Kellner;Stephen Kellner;negative
Adib Khorram: Darius the Great Is Not Okay;9;Laleh Kellner;Shirin Kellner, née Bahrami;positive
Adib Khorram: Darius the Great Is Not Okay;9;Laleh Kellner;Stephen Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;9;Shirin Kellner, née Bahrami;Stephen Kellner;negative
Adib Khorram: Darius the Great Is Not Okay;10;Darius Grover Kellner;Shirin Kellner, née Bahrami;positive
Adib Khorram: Darius the Great Is Not Okay;10;Darius Grover Kellner;Stephen Kellner;negative
Adib Khorram: Darius the Great Is Not Okay;11;Darius Grover Kellner;Jamsheed Bahrami;neutral
Adib Khorram: Darius the Great Is Not Okay;11;Darius Grover Kellner;Shirin Kellner, née Bahrami;positive
Adib Khorram: Darius the Great Is Not Okay;11;Darius Grover Kellner;Stephen Kellner;negative
Adib Khorram: Darius the Great Is Not Okay;11;Jamsheed Bahrami;Shirin Kellner, née Bahrami;positive
Adib Khorram: Darius the Great Is Not Okay;12;Darius Grover Kellner;Shirin Kellner, née Bahrami;positive
Adib Khorram: Darius the Great Is Not Okay;12;Darius Grover Kellner;Sohrab Rezaei;positive
Adib Khorram: Darius the Great Is Not Okay;12;Shirin Kellner, née Bahrami;Sohrab Rezaei;positive
Adib Khorram: Darius the Great Is Not Okay;13;Ashkan Rezaei;Sohrab Rezaei;positive
Adib Khorram: Darius the Great Is Not Okay;13;Darius Grover Kellner;Shirin Kellner, née Bahrami;positive
Adib Khorram: Darius the Great Is Not Okay;13;Darius Grover Kellner;Sohrab Rezaei;positive
Adib Khorram: Darius the Great Is Not Okay;14;Ali-Reza;Darius Grover Kellner;neutral
Adib Khorram: Darius the Great Is Not Okay;14;Ali-Reza;Sohrab Rezaei;negative
Adib Khorram: Darius the Great Is Not Okay;14;Darius Grover Kellner;Hossein;neutral
Adib Khorram: Darius the Great Is Not Okay;14;Darius Grover Kellner;Shirin Kellner, née Bahrami;positive
Adib Khorram: Darius the Great Is Not Okay;14;Darius Grover Kellner;Sohrab Rezaei;positive
Adib Khorram: Darius the Great Is Not Okay;14;Hossein;Sohrab Rezaei;negative
Adib Khorram: Darius the Great Is Not Okay;15;Ali-Reza;Darius Grover Kellner;negative
Adib Khorram: Darius the Great Is Not Okay;15;Ali-Reza;Sohrab Rezaei;neutral
Adib Khorram: Darius the Great Is Not Okay;15;Darius Grover Kellner;Sohrab Rezaei;negative
Adib Khorram: Darius the Great Is Not Okay;16;Darius Grover Kellner;Shirin Kellner, née Bahrami;positive
Adib Khorram: Darius the Great Is Not Okay;16;Darius Grover Kellner;Sohrab Rezaei;negative
Adib Khorram: Darius the Great Is Not Okay;16;Darius Grover Kellner;Stephen Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;17;Darius Grover Kellner;Sohrab Rezaei;positive
Adib Khorram: Darius the Great Is Not Okay;18;Darius Grover Kellner;Laleh Kellner;negative
Adib Khorram: Darius the Great Is Not Okay;18;Darius Grover Kellner;Shirin Kellner, née Bahrami;neutral
Adib Khorram: Darius the Great Is Not Okay;18;Darius Grover Kellner;Sohrab Rezaei;positive
Adib Khorram: Darius the Great Is Not Okay;18;Darius Grover Kellner;Stephen Kellner;negative
Adib Khorram: Darius the Great Is Not Okay;18;Laleh Kellner;Stephen Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;18;Shirin Kellner, née Bahrami;Stephen Kellner;neutral
Adib Khorram: Darius the Great Is Not Okay;19;Darius Grover Kellner;Shirin Kellner, née Bahrami;neutral
Adib Khorram: Darius the Great Is Not Okay;19;Darius Grover Kellner;Sohrab Rezaei;positive
Adib Khorram: Darius the Great Is Not Okay;19;Darius Grover Kellner;Stephen Kellner;neutral
Adib Khorram: Darius the Great Is Not Okay;19;Shirin Kellner, née Bahrami;Sohrab Rezaei;positive
Adib Khorram: Darius the Great Is Not Okay;19;Sohrab Rezaei;Stephen Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;20;Darius Grover Kellner;Laleh Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;20;Darius Grover Kellner;Shirin Kellner, née Bahrami;neutral
Adib Khorram: Darius the Great Is Not Okay;20;Darius Grover Kellner;Sohrab Rezaei;positive
Adib Khorram: Darius the Great Is Not Okay;20;Laleh Kellner;Shirin Kellner, née Bahrami;positive
Adib Khorram: Darius the Great Is Not Okay;20;Shirin Kellner, née Bahrami;Stephen Kellner;neutral
Adib Khorram: Darius the Great Is Not Okay;21;Darius Grover Kellner;Shirin Kellner, née Bahrami;positive
Adib Khorram: Darius the Great Is Not Okay;21;Darius Grover Kellner;Soheil Bahrami;neutral
Adib Khorram: Darius the Great Is Not Okay;21;Darius Grover Kellner;Sohrab Rezaei;positive
Adib Khorram: Darius the Great Is Not Okay;21;Darius Grover Kellner;Stephen Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;21;Laleh Kellner;Stephen Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;21;Shirin Kellner, née Bahrami;Soheil Bahrami;positive
Adib Khorram: Darius the Great Is Not Okay;21;Shirin Kellner, née Bahrami;Sohrab Rezaei;positive
Adib Khorram: Darius the Great Is Not Okay;22;Darius Grover Kellner;Laleh Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;22;Darius Grover Kellner;Shirin Kellner, née Bahrami;positive
Adib Khorram: Darius the Great Is Not Okay;22;Darius Grover Kellner;Soheil Bahrami;neutral
Adib Khorram: Darius the Great Is Not Okay;22;Darius Grover Kellner;Sohrab Rezaei;positive
Adib Khorram: Darius the Great Is Not Okay;22;Darius Grover Kellner;Stephen Kellner;neutral
Adib Khorram: Darius the Great Is Not Okay;22;Shirin Kellner, née Bahrami;Stephen Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;22;Soheil Bahrami;Stephen Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;22;Sohrab Rezaei;Stephen Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;23;Darius Grover Kellner;Shirin Kellner, née Bahrami;neutral
Adib Khorram: Darius the Great Is Not Okay;23;Darius Grover Kellner;Sohrab Rezaei;positive
Adib Khorram: Darius the Great Is Not Okay;23;Darius Grover Kellner;Stephen Kellner;negative
Adib Khorram: Darius the Great Is Not Okay;23;Shirin Kellner, née Bahrami;Sohrab Rezaei;neutral
Adib Khorram: Darius the Great Is Not Okay;23;Sohrab Rezaei;Stephen Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;24;Darius Grover Kellner;Laleh Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;24;Darius Grover Kellner;Shirin Kellner, née Bahrami;positive
Adib Khorram: Darius the Great Is Not Okay;24;Darius Grover Kellner;Sohrab Rezaei;positive
Adib Khorram: Darius the Great Is Not Okay;24;Shirin Kellner, née Bahrami;Sohrab Rezaei;neutral
Adib Khorram: Darius the Great Is Not Okay;25;Darius Grover Kellner;Shirin Kellner, née Bahrami;positive
Adib Khorram: Darius the Great Is Not Okay;25;Darius Grover Kellner;Sohrab Rezaei;positive
Adib Khorram: Darius the Great Is Not Okay;25;Shirin Kellner, née Bahrami;Sohrab Rezaei;positive
Adib Khorram: Darius the Great Is Not Okay;26;Darius Grover Kellner;Laleh Kellner;neutral
Adib Khorram: Darius the Great Is Not Okay;26;Darius Grover Kellner;Stephen Kellner;negative
Adib Khorram: Darius the Great Is Not Okay;26;Laleh Kellner;Stephen Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;27;Darius Grover Kellner;Laleh Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;27;Darius Grover Kellner;Shirin Kellner, née Bahrami;neutral
Adib Khorram: Darius the Great Is Not Okay;27;Laleh Kellner;Shirin Kellner, née Bahrami;positive
Adib Khorram: Darius the Great Is Not Okay;27;Shirin Kellner, née Bahrami;Stephen Kellner;neutral
Adib Khorram: Darius the Great Is Not Okay;28;Darius Grover Kellner;Laleh Kellner;neutral
Adib Khorram: Darius the Great Is Not Okay;28;Darius Grover Kellner;Sohrab Rezaei;positive
Adib Khorram: Darius the Great Is Not Okay;28;Darius Grover Kellner;Stephen Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;28;Laleh Kellner;Sohrab Rezaei;positive
Adib Khorram: Darius the Great Is Not Okay;28;Laleh Kellner;Stephen Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;28;Soheil Bahrami;Sohrab Rezaei;neutral
Adib Khorram: Darius the Great Is Not Okay;29;Darius Grover Kellner;Shirin Kellner, née Bahrami;positive
Adib Khorram: Darius the Great Is Not Okay;29;Darius Grover Kellner;Sohrab Rezaei;positive
Adib Khorram: Darius the Great Is Not Okay;29;Shirin Kellner, née Bahrami;Sohrab Rezaei;positive
Adib Khorram: Darius the Great Is Not Okay;30;Ali-Reza;Darius Grover Kellner;negative
Adib Khorram: Darius the Great Is Not Okay;30;Ali-Reza;Sohrab Rezaei;neutral
Adib Khorram: Darius the Great Is Not Okay;30;Darius Grover Kellner;Hossein;neutral
Adib Khorram: Darius the Great Is Not Okay;30;Darius Grover Kellner;Sohrab Rezaei;positive
Adib Khorram: Darius the Great Is Not Okay;30;Hossein;Sohrab Rezaei;neutral
Adib Khorram: Darius the Great Is Not Okay;31;Darius Grover Kellner;Shirin Kellner, née Bahrami;positive
Adib Khorram: Darius the Great Is Not Okay;31;Darius Grover Kellner;Sohrab Rezaei;positive
Adib Khorram: Darius the Great Is Not Okay;31;Darius Grover Kellner;Stephen Kellner;neutral
Adib Khorram: Darius the Great Is Not Okay;32;Ali-Reza;Darius Grover Kellner;negative
Adib Khorram: Darius the Great Is Not Okay;32;Ali-Reza;Sohrab Rezaei;negative
Adib Khorram: Darius the Great Is Not Okay;32;Darius Grover Kellner;Laleh Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;32;Darius Grover Kellner;Shirin Kellner, née Bahrami;positive
Adib Khorram: Darius the Great Is Not Okay;32;Darius Grover Kellner;Sohrab Rezaei;positive
Adib Khorram: Darius the Great Is Not Okay;32;Darius Grover Kellner;Stephen Kellner;neutral
Adib Khorram: Darius the Great Is Not Okay;32;Shirin Kellner, née Bahrami;Stephen Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;32;Soheil Bahrami;Stephen Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;33;Darius Grover Kellner;Shirin Kellner, née Bahrami;positive
Adib Khorram: Darius the Great Is Not Okay;33;Darius Grover Kellner;Stephen Kellner;negative
Adib Khorram: Darius the Great Is Not Okay;33;Shirin Kellner, née Bahrami;Stephen Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;34;Ashkan Rezaei;Darius Grover Kellner;neutral
Adib Khorram: Darius the Great Is Not Okay;34;Ashkan Rezaei;Sohrab Rezaei;negative
Adib Khorram: Darius the Great Is Not Okay;34;Darius Grover Kellner;Sohrab Rezaei;negative
Adib Khorram: Darius the Great Is Not Okay;35;Darius Grover Kellner;Sohrab Rezaei;positive
Adib Khorram: Darius the Great Is Not Okay;35;Darius Grover Kellner;Stephen Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;36;Darius Grover Kellner;Shirin Kellner, née Bahrami;positive
Adib Khorram: Darius the Great Is Not Okay;36;Darius Grover Kellner;Sohrab Rezaei;positive
Adib Khorram: Darius the Great Is Not Okay;36;Darius Grover Kellner;Stephen Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;36;Shirin Kellner, née Bahrami;Sohrab Rezaei;neutral
Adib Khorram: Darius the Great Is Not Okay;37;Darius Grover Kellner;Jamsheed Bahrami;neutral
Adib Khorram: Darius the Great Is Not Okay;37;Darius Grover Kellner;Laleh Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;37;Darius Grover Kellner;Shirin Kellner, née Bahrami;positive
Adib Khorram: Darius the Great Is Not Okay;37;Darius Grover Kellner;Sohrab Rezaei;positive
Adib Khorram: Darius the Great Is Not Okay;37;Darius Grover Kellner;Stephen Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;38;Coach Fortes;Darius Grover Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;38;Cyprian “Chip” Cusumano;Darius Grover Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;38;Darius Grover Kellner;Javaneh Esfahani;positive
Adib Khorram: Darius the Great Is Not Okay;38;Darius Grover Kellner;Laleh Kellner;neutral
Adib Khorram: Darius the Great Is Not Okay;38;Darius Grover Kellner;Shirin Kellner, née Bahrami;positive
Adib Khorram: Darius the Great Is Not Okay;38;Darius Grover Kellner;Stephen Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;38;Darius Grover Kellner;Trent “Fatty” Bolger;negative
Adib Khorram: Darius the Great Is Not Okay;39;Coach Fortes;Darius Grover Kellner;negative
Adib Khorram: Darius the Great Is Not Okay;39;Cyprian “Chip” Cusumano;Darius Grover Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;39;Darius Grover Kellner;Laleh Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;39;Darius Grover Kellner;Shirin Kellner, née Bahrami;positive
Adib Khorram: Darius the Great Is Not Okay;39;Darius Grover Kellner;Stephen Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;39;Shirin Kellner, née Bahrami;Stephen Kellner;positive
Aeschylus: Agamemnon;1;Agamemnon;Chorus;positive
Aeschylus: Agamemnon;1;Agamemnon;Clytemnestra;negative
Aeschylus: Agamemnon;1;Agamemnon;Watchman;positive
Aeschylus: Agamemnon;1;Chorus;Clytemnestra;neutral
Aeschylus: Agamemnon;1;Clytemnestra;Watchman;neutral
Aeschylus: Agamemnon;2;Agamemnon;Chorus;positive
Aeschylus: Agamemnon;2;Agamemnon;Clytemnestra;negative
Aeschylus: Agamemnon;2;Chorus;Clytemnestra;neutral
Aeschylus: Agamemnon;2;Chorus;Herald;neutral
Aeschylus: Agamemnon;3;Agamemnon;Chorus;positive
Aeschylus: Agamemnon;3;Agamemnon;Clytemnestra;negative
Aeschylus: Agamemnon;3;Agamemnon;Herald;positive
Aeschylus: Agamemnon;3;Chorus;Clytemnestra;neutral
Aeschylus: Agamemnon;3;Chorus;Herald;positive
Aeschylus: Agamemnon;3;Clytemnestra;Herald;positive
Aeschylus: Agamemnon;4;Agamemnon;Cassandra;neutral
Aeschylus: Agamemnon;4;Agamemnon;Chorus;positive
Aeschylus: Agamemnon;4;Agamemnon;Clytemnestra;negative
Aeschylus: Agamemnon;4;Agamemnon;Herald;positive
Aeschylus: Agamemnon;4;Chorus;Clytemnestra;neutral
Aeschylus: Agamemnon;4;Chorus;Herald;positive
Aeschylus: Agamemnon;4;Clytemnestra;Herald;positive
Aeschylus: Agamemnon;5;Agamemnon;Cassandra;neutral
Aeschylus: Agamemnon;5;Agamemnon;Chorus;positive
Aeschylus: Agamemnon;5;Agamemnon;Clytemnestra;negative
Aeschylus: Agamemnon;5;Cassandra;Chorus;positive
Aeschylus: Agamemnon;5;Cassandra;Clytemnestra;negative
Aeschylus: Agamemnon;5;Chorus;Clytemnestra;neutral
Aeschylus: Agamemnon;6;Agamemnon;Cassandra;negative
Aeschylus: Agamemnon;6;Agamemnon;Chorus;positive
Aeschylus: Agamemnon;6;Agamemnon;Clytemnestra;negative
Aeschylus: Agamemnon;6;Cassandra;Chorus;positive
Aeschylus: Agamemnon;6;Cassandra;Clytemnestra;negative
Aeschylus: Agamemnon;6;Chorus;Clytemnestra;neutral
Aeschylus: Agamemnon;7;Aegisthus;Clytemnestra;positive
Aeschylus: Agamemnon;7;Agamemnon;Chorus;positive
Aeschylus: Agamemnon;7;Agamemnon;Clytemnestra;negative
Aeschylus: Agamemnon;7;Cassandra;Chorus;positive
Aeschylus: Agamemnon;7;Cassandra;Clytemnestra;negative
Aeschylus: Agamemnon;7;Chorus;Clytemnestra;negative
Aeschylus: Agamemnon;8;Aegisthus;Agamemnon;negative
Aeschylus: Agamemnon;8;Aegisthus;Chorus;negative
Aeschylus: Agamemnon;8;Aegisthus;Clytemnestra;positive
Aeschylus: Agamemnon;8;Agamemnon;Chorus;positive
Aeschylus: Agamemnon;8;Agamemnon;Clytemnestra;negative
Aeschylus: Agamemnon;8;Chorus;Clytemnestra;negative
Aeschylus: Prometheus Bound;1;Bia;Zeus;positive
Aeschylus: Prometheus Bound;1;Hephaestus;Kratus;negative
Aeschylus: Prometheus Bound;1;Hephaestus;Prometheus;positive
Aeschylus: Prometheus Bound;1;Hephaestus;Zeus;negative
Aeschylus: Prometheus Bound;1;Kratus;Prometheus;negative
Aeschylus: Prometheus Bound;1;Kratus;Zeus;positive
Aeschylus: Prometheus Bound;1;Prometheus;Zeus;negative
Aeschylus: Prometheus Bound;2;Bia;Prometheus;negative
Aeschylus: Prometheus Bound;2;Hephaestus;Prometheus;positive
Aeschylus: Prometheus Bound;2;Hermes;Prometheus;negative
Aeschylus: Prometheus Bound;2;Kratus;Prometheus;negative
Aeschylus: Prometheus Bound;2;Oceanids;Prometheus;positive
Aeschylus: Prometheus Bound;2;Oceanids;Zeus;negative
Aeschylus: Prometheus Bound;2;Oceanus;Prometheus;neutral
Aeschylus: Prometheus Bound;2;Prometheus;Zeus;negative
Aeschylus: Prometheus Bound;3;Oceanids;Prometheus;positive
Aeschylus: Prometheus Bound;3;Oceanids;Zeus;negative
Aeschylus: Prometheus Bound;3;Oceanus;Prometheus;positive
Aeschylus: Prometheus Bound;3;Oceanus;Zeus;neutral
Aeschylus: Prometheus Bound;3;Prometheus;Zeus;negative
Aeschylus: Prometheus Bound;4;Io;Oceanids;positive
Aeschylus: Prometheus Bound;4;Io;Prometheus;positive
Aeschylus: Prometheus Bound;4;Io;Zeus;negative
Aeschylus: Prometheus Bound;4;Oceanids;Prometheus;positive
Aeschylus: Prometheus Bound;4;Oceanids;Zeus;negative
Aeschylus: Prometheus Bound;4;Prometheus;Zeus;negative
Aeschylus: Prometheus Bound;5;Hermes;Oceanids;negative
Aeschylus: Prometheus Bound;5;Hermes;Prometheus;negative
Aeschylus: Prometheus Bound;5;Hermes;Zeus;positive
Aeschylus: Prometheus Bound;5;Oceanids;Prometheus;positive
Aeschylus: Prometheus Bound;5;Oceanids;Zeus;negative
